,Average_grazing,Island_d15N__0,Island_d15N__1,Island_d15N__2,Island_d15N__3,Island_d15N__4,Island_d15N__5,Island_d15N__6,Island_d15N__7,Island_d15N__8,Island_d15N__9,Island_d15N__10,Island_d15N__11,Rat_effect,complexity,hc,SD_reef
987,2.700721632700877,3.000147725447808,4.1493127658272915,1.9241216305710738,3.531339814310373,3.275252548513534,3.293440599701344,-0.24860094754704498,4.086167118957279,3.0648886561403437,4.396946744799663,2.465912134922495,3.1508835037727985,-0.7986288192849079,0.05822749783790883,0.046645300361784214,1.2509693576417493
988,3.012684246647564,3.0457656768450017,4.037905354415502,1.813385735874207,3.576829971017446,3.254181349160063,3.2631388856430927,0.027916747323354762,3.8314495265048842,2.8022198117226407,4.170728862552406,2.244473136558909,2.8392270684158603,-0.5881947111130917,0.06248690865438624,0.04726060773338301,1.0403294039913833
989,2.8766909811773798,3.0471889831242884,4.031237031125024,1.7983735849392615,3.5669337793029547,3.2383086398787624,3.2582661719282475,0.09780212565657169,3.9036117564167214,2.820563174844459,4.188288991955547,2.0222981198572874,2.9207615087027214,-0.5962435762657248,0.062398126876457655,0.047261382753935856,1.0029660243105254
990,3.244691665934362,3.0007849106578344,4.043643390240235,1.4578415522308183,3.611542164891367,3.239690007613977,3.2141956476686455,1.0054688265602345,4.470258809328632,3.4098438925412546,4.763051825567,2.6395317870332997,3.4785737783902713,-1.2458889325593787,0.0636280903640648,0.0480112345628278,1.286465685416325
991,3.1894497890054816,3.034814948871599,3.9693385185610084,1.7566053199718696,3.560339306253074,3.293007571186141,3.260950391813963,1.3270192186592404,4.70912246061122,3.775000514209654,5.073338218995491,3.0594856437930322,3.7966227952536578,-1.517598316236863,0.0616738955160636,0.04694852051447669,0.7316246502295543
992,3.2515447193780953,2.9972038169465125,3.9812286500474277,1.650206551505289,3.5728791155022273,3.3357339275897355,3.275712698657466,1.4286299338651829,4.893184877514797,3.8966399916275756,5.169538873466636,3.113077016296031,3.881396175684798,-1.6410952837946229,0.06847326392885403,0.046516259660123876,0.8899416191885735
993,3.1872404822299436,3.2065485569784236,4.198963518314245,1.8670806056790359,3.7294401319111943,3.3550318653207563,3.304856660962472,1.7287731397385053,5.127441938717083,4.244630869249585,5.58613823568296,3.446714787420955,4.251443069307255,-1.8613345273105042,-0.010993358523380877,0.04827526028099586,1.3502064109767604
994,3.8089858194000734,3.064178474160689,4.081960669973868,1.6538813838301707,3.626782543817326,3.2035318351980813,3.2499347653688058,1.9760994055299226,5.413881877727634,4.460677403416255,5.832398176880377,3.676623075999573,4.459762858400323,-2.1462112907134294,0.039436593502197075,0.048699338661524115,1.4054310736364688
995,3.5481896003983935,2.8917443908418163,4.00047654240422,1.643983345181704,3.4357552529654156,3.1543079015065767,3.1160741508276066,1.9058056061694217,5.282766444324214,4.299005322038434,5.613819569787632,3.5488781985859474,4.2410759863515395,-2.155335362587826,0.09376766060482283,0.04800342753698713,1.2034397591861181
996,3.17377933387793,2.9785443430361664,4.075322532796346,1.6798739874551367,3.5916850513542657,3.281607003663113,3.2555176729445847,0.7314638529289034,4.3674526843408525,3.3218365627948696,4.681118165461189,2.5006547506432413,3.3539011416637763,-1.144137864702922,0.07340202783022401,0.047031248949374584,1.187870930958068
