Tissue,Atoll,Island,TNI_reef_area,Reef_area,To_shore_m,Treatment,cal_d13C,cal_perc_C,cal_d15N,cal_perc_N,CN_ratio
Turf,Salomon,Ile_de_la_Passe,6.06,18.1,215,No_rats,-13.05,7.95,4.88,0.63,12.61
Turf,Salomon,Ile_de_la_Passe,6.06,18.1,215,No_rats,-11.75,6.26,4.15,0.67,9.3
Turf,Salomon,Ile_de_la_Passe,6.06,18.1,215,No_rats,-12.06,3.44,4.44,0.26,13.26
Turf,Salomon,Ile_de_la_Passe,6.06,18.1,215,No_rats,-16.01,8.12,4.39,0.9,8.98
Turf,Salomon,Ile_de_la_Passe,6.06,18.1,215,No_rats,-11.38,9.17,3.83,0.8,11.4
Turf,Salomon,Ile_de_la_Passe,6.06,18.1,215,No_rats,-14.61,3.13,3.85,0.56,5.59
Turf,Salomon,Ile_de_la_Passe,6.06,18.1,215,No_rats,-15.01,7.7,4.98,0.67,11.42
Turf,Salomon,Ile_de_la_Passe,6.06,18.1,215,No_rats,-12.95,8.12,3.92,0.9,9.01
Turf,Salomon,Ile_Fouquet,2.44,16,130,Rats,-14.96,13.58,3.39,1.08,12.62
Turf,Salomon,Ile_Fouquet,2.44,16,130,Rats,-16.77,14.29,3.82,1.2,11.89
Turf,Salomon,Ile_Fouquet,2.44,16,130,Rats,-17.32,22.79,3.89,1.94,11.74
Turf,Salomon,Ile_Fouquet,2.44,16,130,Rats,-16.89,14.75,3.59,1.32,11.16
Turf,Salomon,Ile_Fouquet,2.44,16,130,Rats,-12.96,22.57,4.65,1.92,11.76
Turf,Salomon,Ile_Fouquet,2.44,16,130,Rats,-16.88,18.68,3.78,1.59,11.73
Turf,Salomon,Ile_Fouquet,2.44,16,130,Rats,-14.44,11.67,3.73,1.01,11.51
Turf,Salomon,Ile_Fouquet,2.44,16,130,Rats,-17.55,17.8,3.91,1.6,11.12
Turf,Salomon,Ile_Fouquet,2.44,16,130,Rats,-15.73,20.18,4.12,2.12,9.51
Turf,Salomon,Ile_Fouquet,2.44,16,130,Rats,-16.81,17.01,3.91,1.31,12.96
Turf,Salomon,Sal_Ile_Anglaise,0.16,23.5,280,Rats,-17.7,22.06,5.41,1.97,11.18
Turf,Salomon,Sal_Ile_Anglaise,0.16,23.5,280,Rats,-14.1,17.09,4.58,0.89,19.1
Turf,Salomon,Sal_Ile_Anglaise,0.16,23.5,280,Rats,-10.89,10.12,2.06,1.01,10.03
Turf,Salomon,Sal_Ile_Anglaise,0.16,23.5,280,Rats,-13.78,12.67,3.81,0.98,12.95
Turf,Salomon,Sal_Ile_Anglaise,0.16,23.5,280,Rats,-14.7,9.6,2.85,0.84,11.42
Turf,Salomon,Sal_Ile_Anglaise,0.16,23.5,280,Rats,-12.22,8.19,2.24,0.57,14.39
Turf,Salomon,Sal_Ile_Anglaise,0.16,23.5,280,Rats,-7.77,4.84,2.95,0.34,14.1
Turf,Salomon,Sal_Ile_Anglaise,0.16,23.5,280,Rats,-20.78,12.5,5.1,2.06,6.07
Turf,Salomon,Sal_Ile_Anglaise,0.16,23.5,280,Rats,-13.27,11.45,3.24,0.77,14.96
Turf,Salomon,Sal_Ile_Anglaise,0.16,23.5,280,Rats,-14.42,11.98,2.76,1.12,10.69
